time     mean     centroid1  slope     centroid2   spread        skewness kurtosis   decrease rolloff    
0.000000 0.004976  70.926270 -0.000040  70.926270   3074.090576  1.259207  4.815519  0.018461 113.000000
0.016000 0.005686  71.656433 -0.000040  71.656433   3038.573975  1.233672  4.757937  0.023983 111.000000
0.032000 0.005755  66.292984 -0.000044  66.292984   3250.368408  1.376889  4.899137  0.023246 110.000000
0.048000 0.005730  70.679588 -0.000041  70.679588   2952.609131  1.298643  5.002332  0.020167 107.000000
0.064000 0.005895  78.977776 -0.000035  78.977776   2946.668213  1.204289  4.817098  0.005538 119.000000
0.080000 0.005215  75.426857 -0.000037  75.426857   3221.598633  1.359693  4.782058  0.013415 115.000000
0.096000 0.005741  65.565628 -0.000044  65.565628   3202.795166  1.327441  4.771205  0.038553 113.000000
0.112000 0.007709  64.726913 -0.000045  64.726913   2792.557129  1.488162  5.630548  0.025430 111.000000
0.128000 0.006426  68.867706 -0.000042  68.867706   2964.774414  1.404869  5.196393  0.022618 113.000000
0.144000 0.005830  67.940407 -0.000042  67.940407   3319.211914  1.506044  5.071793  0.023590 103.000000
0.160000 0.004354  79.913712 -0.000034  79.913712   3278.072021  1.041277  4.055923  0.013869 117.000000
0.176000 0.004910  74.755829 -0.000038  74.755829   3365.261719  1.187613  4.310273  0.015569 113.000000
0.192000 0.005707  72.191971 -0.000039  72.191971   3009.816895  1.384508  5.178982  0.013986 112.000000
0.208000 0.005647  65.718231 -0.000044  65.718231   3178.368896  1.422310  5.016728  0.020919 104.000000
0.224000 0.005998  61.048916 -0.000047  61.048916   2999.317627  1.705986  5.959062  0.026422 101.000000
0.240000 0.007097  61.419151 -0.000047  61.419151   2814.015137  1.926566  6.647511  0.019559  79.000000
0.256000 0.011066  54.336227 -0.000052  54.336227   1780.139282  2.394477 10.081653  0.020477  66.000000
0.272000 0.018063  48.845192 -0.000056  48.845192   1263.753906  2.828923 14.155469  0.025155  62.000000
0.288000 0.044165  52.189087 -0.000054  52.189087    597.989441  3.654174 26.209053  0.020316  64.000000
0.304000 0.076280  49.550354 -0.000055  49.550354    559.065063  2.914204 20.450583  0.024711  61.000000
0.320000 0.107069  51.636421 -0.000054  51.636421    638.154602  1.779009 10.426686  0.022681  68.000000
0.336000 0.099694  53.505108 -0.000053  53.505108    689.300415  1.558009  8.464525  0.024301  81.000000
0.352000 0.099533  50.926243 -0.000054  50.926243    605.505310  1.942014 12.993574  0.024055  67.000000
0.368000 0.372010  26.850697 -0.000072  26.850697    473.588867  2.557310 14.166370  0.062424  34.000000
0.384000 0.734400  22.897385 -0.000074  22.897385    445.966248  2.663431 13.350880  0.079378  30.000000
